on,sp,dn,dp,u,v,w,a,b,c,d,e,f,p1,p2
0,40,59,66,33,42,46,28,36,39,39,43,49,39,46
99,113,119,120,106,126,135,101,109,116,122,130,139,112,119
174,199,210,214,182,203,211,177,185,192,199,207,215,188,195
252,266,272,274,259,279,288,254,262,270,276,283,294,266,273
329,343,362,369,336,357,365,331,339,347,352,359,371,343,349
404,418,424,427,411,432,440,406,414,422,428,436,444,418,425
481,495,502,504,488,510,520,483,491,499,506,515,524,495,502
561,575,582,584,568,589,597,563,571,579,585,593,602,575,582
642,657,675,682,650,668,677,645,653,660,666,673,681,657,663
719,733,752,760,727,745,755,722,730,737,742,750,761,733,739
792,805,825,833,799,819,828,794,803,810,816,823,831,806,813
862,886,897,902,869,890,899,864,872,879,886,894,903,876,882
935,948,954,957,942,963,971,937,944,952,959,967,974,948,955
1009,1025,1032,1035,1018,1040,1048,1013,1022,1029,1036,1044,1053,1025,1032
1090,1103,1139,1143,1097,1106,1111,1092,1100,1103,1103,1108,1114,1103,1110
1169,1182,1201,1209,1176,1184,1205,1171,1179,1187,1192,1199,1208,1183,1189
1242,1258,1277,1284,1324,1332,1337,1247,1255,1262,1282,1320,1328,1258,1278
1390,1403,1411,1415,1398,1406,1413,1393,1401,1404,1404,1408,1416,1404,1412
1454,1474,1494,1502,1536,1544,1549,1464,1472,1479,1501,1531,1540,1475,1496
1596,1610,1629,1636,1604,1613,1632,1600,1608,1615,1620,1628,1635,1611,1620
1667,1681,1702,1705,1675,1695,1703,1670,1678,1686,1692,1699,1706,1682,1689
1742,1756,1760,1765,1748,1770,1778,1743,1752,1759,1766,1774,1781,1755,1762
1814,1828,1835,1836,1821,1842,1853,1816,1824,1832,1838,1847,1857,1828,1835
1888,1903,1922,1928,1896,1915,1924,1891,1899,1907,1912,1919,1928,1903,1909
1962,1975,1996,2001,1969,1988,1997,1964,1972,1979,1985,1992,2001,1975,1982
2031,2045,2052,2067,2038,2059,2060,2033,2041,2049,2055,2062,2070,2045,2052
2100,2114,2135,2141,2107,2116,2121,2102,2111,2114,2114,2118,2124,2114,2121
2170,2184,2203,2210,2178,2187,2193,2173,2181,2185,2185,2189,2195,2185,2192
2241,2255,2275,2281,2248,2267,2277,2243,2251,2259,2264,2272,2281,2255,2261
2309,2331,2341,2344,2316,2335,2343,2311,2319,2326,2332,2339,2346,2322,2329
2378,2399,2411,2414,2384,2405,2413,2379,2387,2394,2400,2409,2417,2390,2397
2449,2470,2481,2487,2456,2475,2486,2450,2459,2465,2470,2478,2491,2462,2470
2521,2537,2554,2560,2529,2548,2556,2524,2532,2539,2544,2552,2559,2535,2544
2596,2618,2629,2634,2603,2622,2630,2598,2606,2613,2619,2626,2634,2609,2616
2673,2696,2708,2713,2680,2702,2711,2675,2683,2690,2697,2705,2713,2686,2693
2756,2781,2791,2797,2764,2785,2793,2759,2767,2775,2782,2789,2796,2771,2778
2843,2867,2878,2883,2851,2871,2879,2845,2854,2861,2868,2875,2883,2857,2864
2924,2939,2956,2963,2932,2951,2959,2927,2935,2943,2948,2955,2962,2938,2945
3000,3015,3019,3023,3008,3028,3036,3003,3011,3018,3024,3032,3041,3014,3021
3076,3090,3095,3098,3083,3103,3111,3078,3086,3093,3099,3107,3121,3089,3096
3155,3180,3192,3197,3163,3184,3193,3158,3166,3173,3180,3188,3199,3169,3176
3241,3264,3275,3279,3248,3269,3277,3243,3251,3259,3264,3272,3279,3254,3261
3320,3335,3339,3342,3328,3347,3356,3323,3331,3338,3344,3352,3360,3334,3341
3397,3422,3434,3436,3405,3427,3435,3399,3408,3415,3422,3430,3438,3411,3418
3478,3501,3511,3520,3485,3506,3534,3479,3487,3494,3500,3508,3525,3490,3497
3562,3576,3581,3586,3569,3578,3584,3564,3572,3576,3576,3580,3586,3576,3583
3641,3655,3661,3662,3648,3667,3675,3643,3651,3658,3664,3671,3679,3654,3661
3719,3743,3753,3756,3726,3747,3755,3721,3729,3736,3743,3750,3758,3733,3740
3798,3822,3832,3837,3805,3825,3833,3800,3808,3815,3822,3829,3837,3811,3818
3877,3892,3897,3900,3885,3906,3915,3880,3888,3895,3902,3910,3919,3891,3898
3957,3978,3990,3996,3964,3984,3992,3959,3967,3974,3980,3988,3996,3970,3977
4031,4046,4052,4068,4038,4059,4067,4033,4042,4050,4055,4063,4070,4045,4052
4106,4121,4126,4130,4114,4135,4143,4108,4117,4124,4131,4138,4144,4120,4128
4186,4212,4222,4227,4194,4216,4224,4189,4197,4205,4212,4219,4227,4201,4208
4268,4291,4302,4308,4276,4296,4304,4271,4279,4286,4292,4300,4307,4282,4289
4345,4360,4379,4383,4353,4371,4380,4348,4355,4362,4368,4376,4384,4358,4365
4420,4442,4454,4458,4427,4448,4456,4422,4430,4438,4444,4452,4460,4434,4441
4496,4521,4532,4537,4505,4525,4533,4500,4508,4515,4522,4529,4537,4511,4518
4586,4610,4621,4627,4593,4615,4623,4588,4596,4604,4611,4619,4626,4600,4607
4667,4682,4687,4691,4676,4695,4702,4671,4679,4686,4691,4698,4705,4682,4688
4748,4771,4783,4790,4756,4776,4785,4751,4759,4766,4772,4780,4790,4762,4769
4832,4847,4851,4855,4839,4860,4869,4834,4842,4850,4856,4864,4872,4845,4853
4913,4929,4936,4939,4923,4944,4952,4918,4926,4933,4940,4948,4957,4930,4936
4995,5009,5027,5033,5002,5021,5029,4997,5005,5013,5018,5025,5032,5009,5015
5069,5083,5105,5109,5077,5098,5106,5072,5080,5087,5094,5102,5110,5083,5090
5148,5161,5167,5172,5155,5176,5184,5150,5158,5165,5172,5180,5188,5161,5168
5226,5240,5246,5249,5233,5255,5263,5228,5236,5244,5250,5258,5267,5240,5247
5307,5320,5327,5329,5314,5334,5342,5310,5317,5325,5331,5337,5345,5321,5327
5384,5398,5420,5426,5393,5412,5422,5388,5396,5403,5409,5417,5427,5399,5405
5461,5475,5481,5484,5469,5489,5497,5463,5472,5479,5485,5492,5503,5475,5482
5535,5548,5555,5557,5542,5563,5571,5538,5545,5552,5559,5567,5575,5548,5555
5638,5686,5705,5712,5680,5689,5693,5675,5683,5686,5686,5690,5696,5686,5693
5739,5753,5770,5776,5746,5764,5772,5741,5750,5756,5762,5768,5775,5753,5759
5841,5890,5910,5917,5885,5893,5898,5880,5888,5891,5891,5895,5901,5891,5898
5956,5969,5974,5979,6045,6047,6059,6041,6049,,,5987,,6052,
6097,6130,6149,6154,6124,6132,6152,6120,6127,6134,6140,6147,6154,6130,6137
6190,6203,6209,6213,6198,6218,6227,6193,6200,6207,6214,6222,6230,6204,6210
6264,6279,6301,6307,6272,6294,6303,6267,6275,6284,6291,6298,6306,6279,6287
6344,6358,6379,6384,6352,6372,6380,6347,6356,6363,6369,6376,6383,6359,6366
6421,6434,6455,6459,6428,6447,6456,6423,6431,6438,6443,6450,6464,6434,6440
6495,6510,6530,6536,6503,6523,6531,6498,6506,6514,6519,6527,6535,6509,6516
6569,6583,6589,6591,6576,6596,6606,6572,6579,6586,6593,6601,6610,6583,6589
6644,6667,6679,6685,6652,6673,6681,6646,6655,6662,6669,6677,6685,6658,6665
6721,6735,6755,6761,6729,6748,6757,6724,6732,6739,6745,6752,6761,6735,6742
6796,6810,6828,6835,6803,6813,6832,6798,6807,6814,6820,6827,6835,6810,6817
6870,6884,6892,6894,6878,6898,6906,6873,6881,6889,6895,6902,6909,6885,6892
6946,6961,6965,6969,6954,6975,6985,6949,6957,6964,6971,6979,6990,6960,6967
7027,7051,7062,7066,7035,7056,7065,7030,7038,7045,7051,7060,7072,7041,7048
7110,7123,7129,7133,7117,7137,7145,7112,7120,7127,7133,7141,7149,7123,7130
7188,7201,7220,7228,7195,7214,7223,7190,7198,7206,7211,7219,7227,7202,7208
7264,7277,7285,7287,7271,7292,7300,7265,7274,7282,7289,7296,7303,7277,7285
7341,7367,7377,7380,7349,7371,7379,7345,7352,7360,7367,7375,7383,7356,7363
7420,7434,7453,7460,7428,7447,7455,7423,7431,7439,7445,7451,7459,7434,7442
7495,7509,7529,7535,7503,7522,7531,7498,7506,7513,7519,7526,7534,7509,7516
7569,7584,7590,7592,7577,7597,7605,7571,7580,7587,7594,7601,7608,7583,7590
7645,7661,7665,7668,7653,7674,7683,7648,7656,7663,7670,7678,7686,7659,7666
7727,7750,7760,7766,7734,7754,7762,7729,7737,7744,7750,7757,7765,7740,7747
7807,7828,7841,7847,7814,7834,7843,7809,7817,7824,7830,7838,7847,7821,7827
7888,7903,7907,7909,7895,7916,7924,7890,7898,7905,7911,7919,7928,7901,7908
7969,7992,8002,8006,7976,7996,8005,7971,7979,7986,7992,8000,8010,7982,7989
8052,8078,8088,8091,8061,8082,8090,8056,8064,8071,8078,8086,8093,8068,8075
8137,8152,8156,8160,8144,8164,8172,8139,8148,8155,8161,8168,8176,8151,8158
8217,8231,8252,8257,8224,8244,8254,8219,8227,8234,8240,8248,8259,8230,8237
8293,8316,8328,8331,8301,8320,8329,8295,8303,8310,8316,8324,8333,8307,8313
8375,8400,8411,8416,8383,8405,8413,8378,8386,8393,8400,8408,8416,8389,8397
8458,8482,8493,8495,8465,8487,8494,8460,8468,8475,8482,8489,8497,8471,8479
8536,8551,8569,8574,8543,8563,8570,8538,8547,8554,8559,8566,8574,8550,8559
8614,8629,8635,8654,8622,8641,8649,8616,8625,8632,8637,8645,8653,8628,8637
8689,8704,8724,8731,8697,8717,8726,8692,8700,8708,8714,8721,8729,8703,8711
8764,8778,8783,8787,8771,8792,8800,8766,8774,8782,8788,8795,8803,8778,8785
8840,8865,8877,8883,8848,8870,8879,8843,8851,8858,8865,8873,8887,8854,8861
8921,8936,8955,8961,8929,8949,8957,8925,8933,8940,8946,8953,8961,8936,8943
9000,9013,9033,9041,9007,9027,9036,9002,9010,9018,9024,9031,9039,9013,9020
9077,9099,9110,9116,9083,9103,9112,9078,9086,9093,9099,9107,9115,9090,9096
9155,9179,9190,9196,9162,9183,9192,9157,9165,9173,9179,9187,9196,9169,9176
9239,9253,9259,9261,9246,9266,9275,9241,9249,9257,9263,9270,9279,9253,9260
9316,9330,9348,9355,9323,9342,9350,9318,9326,9333,9339,9346,9353,9329,9336
9391,9405,9425,9430,9398,9418,9426,9393,9402,9409,9415,9422,9430,9405,9412
9466,9481,9486,9489,9474,9495,9503,9469,9477,9484,9490,9498,9507,9480,9487
9546,9570,9580,9583,9554,9574,9582,9549,9557,9564,9570,9578,9586,9560,9567
9627,9640,9647,9648,9634,9653,9661,9629,9637,9644,9650,9657,9665,9640,9647
9704,9718,9723,9727,9711,9732,9741,9706,9714,9721,9728,9735,9747,9718,9724
9779,9802,9815,9820,9787,9807,9816,9782,9790,9797,9803,9812,9820,9793,9800
9858,9882,9893,9898,9866,9886,9895,9861,9869,9876,9883,9890,9898,9872,9879
9942,9956,9961,9966,9949,9970,9978,9944,9952,9959,9966,9973,9981,9955,9962
10020,10033,10040,10042,10027,10047,10055,10023,10030,10037,10044,10051,10058,10034,10040
10099,10112,10133,10138,10105,10127,10136,10100,10108,10117,10123,10131,10139,10112,10120
10177,10191,10199,10201,10185,10206,10215,10180,10188,10196,10203,10210,10218,10192,10199
10259,10283,10294,10299,10266,10287,10296,10261,10269,10276,10283,10291,10299,10273,10280
10339,10352,10371,10378,10346,10365,10373,10341,10349,10356,10362,10369,10377,10352,10359
10415,10429,10448,10456,10423,10443,10451,10418,10426,10434,10439,10447,10455,10430,10436
10491,10504,10512,10514,10498,10519,10527,10493,10501,10509,10516,10523,10531,10505,10512
10570,10584,10592,10594,10578,10599,10607,10573,10581,10589,10595,10603,10610,10584,10592
10652,10676,10685,10690,10659,10680,10687,10654,10662,10669,10676,10683,10690,10665,10672
10728,10742,10749,10751,10736,10745,10750,10730,10739,10742,10742,10746,10752,10742,10749
10805,10818,10824,10830,10812,10821,10827,10807,10815,10819,10819,10823,10829,10819,10826
10885,10908,10919,10925,10892,10912,10921,10887,10895,10902,10908,10916,10924,10898,10905
10965,10979,10997,11004,10973,10992,11000,10968,10976,10983,10988,10995,11003,10979,10985
11039,11060,11068,11070,11054,11075,11084,11049,11057,11065,11071,11079,11089,11061,11068
11129,11143,11163,11167,11137,11145,11151,11132,11140,11143,11143,11147,11154,11143,11150
11202,11222,11242,11250,11217,11224,11230,11212,11220,11223,11223,11227,11233,11223,11230
11285,11299,11305,11309,11293,11314,11321,11288,11296,11303,11309,11316,11323,11299,11306
11363,11376,11383,11386,11370,11390,11398,11365,11373,11380,11387,11394,11401,11376,11383
11445,11459,11481,11489,11453,11474,11484,11448,11456,11463,11469,11477,11491,11459,11466
11524,11537,11556,11565,11531,11550,11559,11526,11534,11542,11547,11554,11564,11538,11547
11599,11613,11632,11639,11606,11625,11634,11601,11609,11616,11622,11629,11638,11612,11619
11676,11689,11694,11700,11682,11691,11697,11678,11685,11689,11689,11693,11700,11689,11696
11757,11770,11777,11781,11764,11785,11793,11759,11767,11775,11781,11789,11797,11771,11778
11836,11850,11869,11876,11844,11863,11871,11839,11847,11854,11860,11867,11875,11851,11857
11911,11925,11932,11934,11919,11940,11948,11914,11922,11929,11936,11943,11953,11925,11932
11989,12002,12007,12013,11996,12005,12010,11991,11999,12002,12002,12006,12013,12002,12009
12068,12081,12088,12092,12075,12096,12104,12071,12079,12086,12092,12100,12108,12082,12089
12141,12158,12165,12166,12152,12171,12179,12147,12155,12162,12168,12174,12182,12158,12165
12219,12232,12251,12258,12226,12245,12253,12221,12229,12236,12241,12249,12257,12232,12238
12292,12307,12311,12316,12300,12320,12329,12295,12303,12310,12316,12324,12333,12306,12313
12367,12381,12385,12389,12374,12394,12401,12369,12377,12384,12390,12397,12405,12380,12387
12441,12457,12461,12464,12449,12469,12477,12444,12453,12459,12465,12472,12481,12456,12462
12518,12531,12537,12540,12525,12544,12552,12520,12528,12535,12541,12548,12555,12531,12537
12590,12613,12624,12629,12597,12618,12625,12592,12600,12607,12614,12622,12629,12603,12610
12660,12675,12680,12682,12668,12687,12696,12663,12671,12678,12684,12691,12700,12674,12681
12738,12762,12774,12778,12745,12766,12775,12740,12748,12755,12762,12770,12780,12751,12758
12839,12853,12876,12881,12847,12857,12862,12842,12850,12854,12854,12858,12865,12854,12861
12937,12951,12959,12962,12945,12954,12960,12940,12948,12952,12952,12956,12963,12952,12959
13031,13045,13053,13055,13039,13048,13054,13034,13042,13046,13046,13050,13056,13046,13053
13091,13130,13149,13159,13125,13133,13140,13120,13129,13132,13132,13136,13142,13132,13139
13196,13211,13230,13239,13205,13213,13234,13200,13208,13216,13222,13229,13238,13212,13219
13270,13284,13307,13313,13277,13299,13350,13272,13280,13288,13295,13345,13353,13284,13291
13419,13433,13439,13443,13427,13448,13449,13421,13430,13437,13444,13451,13465,13434,13441
13495,13509,13512,13516,13576,13592,13604,13571,13579,,,13571,,13582,
13645,13670,13679,13686,13652,13673,13681,13647,13655,13662,13669,13677,13685,13658,13666
13719,13740,13752,13757,13725,13745,13753,13720,13727,13734,13741,13749,13756,13730,13738
13786,13801,13818,13823,13793,13813,13820,13788,13796,13803,13809,13816,13823,13800,13806
13856,13869,13890,13897,13863,13884,13892,13858,13866,13874,13881,13888,13896,13870,13878
13927,13940,13946,13949,13934,13942,13948,13929,13937,13940,13940,13944,13950,13940,13947
14000,14014,14035,14041,14008,14028,14037,14003,14011,14018,14024,14032,14040,14014,14020
14077,14090,14097,14102,14084,14092,14099,14080,14088,14091,14091,14095,14102,14091,14098
14155,14168,14188,14196,14236,14244,14250,14158,14166,14174,14195,14231,14240,14169,14191
14297,14311,14335,14340,14306,14314,14320,14301,14309,14312,14312,14316,14322,14312,14319
14369,14382,14390,14392,14376,14384,14406,14371,14379,14387,14394,14401,14409,14383,14390
14441,14454,14461,14463,14448,14468,14476,14443,14451,14459,14465,14472,14480,14455,14462
14514,14527,14546,14554,14521,14540,14549,14516,14524,14531,14537,14544,14553,14527,14534
14588,14609,14618,14626,14594,14612,14621,14589,14597,14603,14609,14616,14626,14600,14606
14660,14683,14694,14699,14667,14687,14695,14662,14670,14677,14683,14691,14699,14673,14680
14734,14757,14768,14774,14741,14761,14770,14736,14744,14751,14757,14765,14773,14747,14754
14814,14838,14848,14854,14822,14842,14850,14817,14825,14832,14838,14846,14854,14828,14835
14891,14906,14924,14931,14899,14918,14927,14894,14902,14909,14914,14922,14931,14905,14911
14967,14980,14986,14990,14974,14994,15002,14969,14977,14984,14991,14998,15006,14980,14987
15044,15057,15063,15068,15051,15060,15066,15046,15054,15057,15057,15061,15068,15057,15064
15126,15150,15160,15167,15133,15154,15162,15129,15136,15143,15150,15157,15167,15140,15146
15204,15218,15223,15224,15211,15229,15239,15206,15214,15221,15226,15233,15243,15217,15223
15278,15294,15300,15316,15287,15307,15315,15282,15290,15297,15303,15311,15318,15293,15300
15357,15382,15394,15396,15364,15386,15394,15359,15367,15375,15382,15390,15397,15371,15379
15438,15453,15459,15460,15446,15466,15474,15441,15449,15456,15462,15470,15478,15453,15459
15516,15531,15549,15556,15524,15534,15553,15519,15527,15535,15541,15548,15556,15531,15538
15592,15617,15628,15630,15600,15621,15628,15595,15603,15610,15617,15624,15631,15607,15614
15670,15684,15689,15693,15677,15686,15691,15672,15680,15683,15683,15688,15695,15683,15691
15726,15761,15786,15794,15754,15773,15793,15749,15759,15768,15770,15779,15798,15763,15770
15825,15839,15858,15864,15833,15852,15860,15828,15836,15843,15849,15856,15864,15839,15846
15902,15915,15922,15924,15909,15929,15937,15904,15912,15919,15925,15932,15940,15915,15922
15978,15993,15999,16003,16064,,,15981,15989,15997,16003,16011,16018,15993,16000
16090,16141,16162,16168,16209,,,16204,16212,,,16160,,16215,
16265,16286,16308,16314,16281,16289,16311,16276,16284,16291,16297,16305,16314,16287,16294
16346,16359,16381,16385,16353,16361,16366,16349,16356,16360,16360,16363,16369,16360,16366
16421,16435,16456,16459,16429,16449,16456,16424,16432,16439,16445,16452,16459,16435,16442
16495,16508,16528,16536,16502,16521,16531,16497,16505,16512,16518,16525,16536,16509,16515
16569,16583,16603,16610,16577,16596,16605,16572,16580,16588,16594,16600,16610,16584,16591
16644,16658,16665,16666,16651,16660,16666,16647,16654,16658,16658,16662,16668,16658,16664
16721,16734,16740,16746,16728,16737,16743,16723,16731,16735,16735,16739,16746,16735,16742
16801,16814,16820,16823,16807,16816,16821,16802,16810,16813,16813,16818,16824,16813,16820
16877,16890,16896,16899,16884,16904,16911,16879,16887,16894,16900,16907,16915,16890,16897
16951,16977,16988,16993,16960,16980,16989,16955,16963,16970,16976,16984,16997,16966,16973
17031,17054,17066,17070,17038,17059,17067,17032,17041,17048,17055,17062,17070,17044,17051
17108,17122,17128,17130,17115,17135,17143,17110,17118,17126,17132,17139,17146,17121,17128
17184,17198,17216,17223,17191,17210,17218,17186,17194,17201,17206,17214,17222,17197,17203
17259,17283,17294,17300,17266,17287,17296,17261,17269,17277,17283,17291,17302,17273,17280
17337,17361,17371,17375,17344,17365,17374,17339,17347,17354,17361,17369,17383,17350,17357
17420,17444,17453,17460,17428,17449,17457,17423,17431,17438,17444,17452,17460,17434,17441
17500,17513,17533,17536,17507,17526,17534,17502,17510,17517,17523,17529,17536,17513,17520
17576,17600,17610,17618,17583,17604,17613,17578,17586,17594,17601,17609,17617,17589,17597
17658,17697,17705,17711,17663,17683,17708,17658,17665,17672,17680,17702,17714,17668,17676
17737,17750,17769,17777,17744,17752,17772,17739,17747,17754,17760,17767,17776,17750,17757
17814,17828,17835,17837,17822,17842,17850,17817,17825,17832,17839,17846,17854,17828,17835
