on,sp,dn,dp,off,u,v,w,a,b,c,d,e,f,p1,p2
0,40,59,64,115,32,48,63,26,36,48,48,57,69,40,48
115,135,154,159,230,126,145,158,120,130,141,143,152,164,134,143
230,250,270,275,337,241,256,274,236,246,259,259,268,279,250,259
337,358,376,382,436,349,367,381,343,353,364,364,374,388,357,364
436,456,473,480,525,447,464,479,441,451,462,462,471,485,455,462
525,545,562,567,611,536,554,566,530,540,550,550,560,572,544,550
611,631,650,654,709,622,643,653,615,626,636,639,648,659,630,639
709,729,749,753,814,720,742,753,714,724,734,738,747,757,727,738
814,834,856,862,914,826,838,859,820,830,842,848,854,862,834,845
914,939,957,965,1024,932,943,961,926,936,947,949,955,965,940,949
1024,1040,1060,1070,1121,1033,1044,1065,1027,1037,1046,1051,1058,1071,1041,1048
1121,1143,1160,1165,1221,1130,1153,1164,1124,1134,1147,1147,1158,1170,1138,1147
1221,1244,1260,1266,1326,1232,1253,1265,1225,1237,1248,1248,1259,1272,1241,1248
1326,1347,1365,1372,1427,1337,1357,1371,1331,1342,1354,1354,1363,1378,1346,1354
1427,1447,1465,1473,1521,1438,1455,1470,1432,1443,1454,1454,1463,1476,1447,1454
1521,1541,1559,1567,1611,1532,1549,1564,1526,1537,1547,1547,1557,1569,1540,1547
1611,1631,1650,1655,1706,1622,1641,1654,1616,1626,1638,1638,1648,1659,1630,1638
1706,1727,1746,1752,1814,1717,1738,1751,1711,1722,1733,1733,1744,1756,1725,1733
1814,1835,1853,1859,1920,1826,1845,1858,1820,1830,1841,1841,1851,1864,1834,1841
1920,1941,1959,1964,2033,1931,1951,1963,1925,1936,1946,1946,1957,1967,1939,1946
2033,2054,2071,2076,2151,2043,2065,2076,2037,2047,2059,2059,2069,2084,2051,2059
2151,2171,2190,2197,2256,2162,2181,2196,2156,2166,2177,2177,2188,2200,2169,2177
2256,2277,2294,2299,2346,2266,2286,2298,2260,2271,2282,2282,2292,2306,2276,2282
2346,2367,2384,2392,2438,2357,2376,2391,2351,2361,2371,2371,2382,2396,2365,2371
2438,2459,2477,2483,2536,2449,2470,2482,2443,2454,2465,2465,2475,2491,2458,2465
2536,2558,2575,2580,2638,2547,2568,2579,2540,2551,2562,2562,2573,2591,2555,2562
2638,2660,2676,2682,2740,2649,2668,2681,2643,2653,2664,2664,2674,2687,2657,2664
2740,2762,2779,2784,2833,2751,2770,2783,2745,2756,2767,2767,2777,2789,2760,2767
2833,2853,2871,2876,2931,2843,2863,2875,2837,2848,2860,2860,2869,2880,2852,2860
2931,2953,2971,2976,3051,2943,2963,2975,2937,2947,2959,2959,2969,2981,2951,2959
3051,3072,3091,3096,3167,3063,3080,3095,3057,3067,3080,3080,3089,3100,3071,3080
3167,3188,3206,3212,3267,3179,3196,3211,3173,3183,3196,3196,3204,3218,3187,3196
3267,3287,3305,3314,3355,3278,3295,3309,3272,3282,3293,3293,3303,3315,3286,3293
3355,3374,3393,3398,3442,3365,3382,3397,3359,3370,3382,3382,3391,3403,3373,3382
3442,3463,3481,3486,3533,3452,3473,3485,3446,3457,3468,3468,3479,3491,3461,3468
3533,3553,3573,3579,3629,3544,3567,3579,3538,3547,3559,3562,3571,3584,3551,3562
3629,3645,3664,3671,3716,3638,3649,3668,3632,3642,3651,3656,3662,3672,3646,3653
3716,3732,3753,3761,3801,3725,3735,3758,3719,3728,3737,3742,3751,3763,3732,3739
3801,3828,3849,3860,3914,3819,3843,3856,3814,3823,3832,3839,3848,3862,3827,3835
3914,3933,3944,3950,4015,3924,3938,3950,3918,3929,3935,3935,3941,3953,3935,3946
4015,4032,4053,4058,4104,4024,4037,4045,4019,4028,4033,4033,4039,4045,4033,4042
4104,4132,4151,4154,4217,4123,4146,4154,4117,4126,4138,4143,4149,4156,4130,4140
4217,4239,4257,4262,4317,4227,4250,4262,4220,4231,4243,4243,4255,4268,4236,4243
4317,4338,4355,4361,4408,4327,4346,4360,4321,4332,4342,4342,4353,4365,4336,4342
4408,4429,4446,4452,4497,4419,4437,4451,4413,4424,4434,4434,4444,4456,4427,4434
4497,4517,4536,4542,4590,4508,4528,4541,4502,4512,4524,4524,4534,4547,4516,4524
4590,4611,4630,4636,4688,4601,4620,4635,4595,4606,4617,4617,4628,4640,4610,4617
4688,4708,4727,4733,4781,4699,4717,4732,4693,4704,4716,4716,4725,4738,4707,4716
4781,4802,4820,4825,4879,4793,4811,4824,4788,4798,4809,4809,4818,4830,4802,4809
4879,4900,4918,4922,4991,4890,4910,4921,4884,4894,4906,4906,4916,4926,4898,4906
4991,5012,5031,5036,5104,5002,5023,5035,4996,5006,5017,5017,5030,5039,5009,5017
5104,5130,5148,5153,5221,5121,5140,5152,5115,5125,5136,5136,5146,5156,5128,5136
5221,5241,5260,5268,5322,5232,5250,5264,5226,5236,5247,5247,5258,5269,5240,5247
5322,5342,5360,5367,5416,5333,5351,5365,5326,5337,5348,5348,5358,5373,5341,5348
5416,5437,5454,5459,5511,5426,5446,5458,5420,5431,5441,5441,5452,5464,5434,5441
5511,5533,5551,5556,5618,5522,5542,5555,5516,5527,5539,5539,5549,5560,5531,5539
5618,5640,5659,5665,5724,5631,5650,5664,5625,5635,5649,5649,5657,5670,5639,5649
5724,5745,5763,5768,5824,5736,5754,5767,5730,5740,5751,5751,5761,5772,5744,5751
5824,5845,5864,5871,5921,5836,5852,5868,5830,5840,5854,5854,5862,5873,5845,5854
5921,5941,5960,5964,6023,5932,5951,5963,5926,5936,5948,5948,5958,5968,5940,5948
6023,6043,6062,6067,6139,6034,6053,6066,6028,6038,6050,6050,6060,6075,6042,6050
6139,6159,6177,6183,6248,6149,6169,6182,6143,6154,6166,6166,6175,6189,6158,6166
6248,6269,6288,6296,6347,6260,6277,6292,6254,6264,6278,6278,6286,6298,6268,6278
6347,6367,6386,6392,6445,6358,6375,6390,6353,6363,6376,6376,6384,6395,6367,6376
6445,6465,6484,6489,6546,6456,6475,6488,6450,6460,6472,6472,6482,6493,6464,6472
6546,6567,6586,6591,6647,6558,6577,6590,6552,6562,6574,6574,6584,6596,6566,6574
6647,6668,6686,6691,6743,6658,6675,6690,6652,6663,6678,6678,6684,6695,6668,6678
6743,6763,6780,6786,6833,6753,6771,6785,6747,6758,6769,6769,6778,6791,6762,6769
6833,6853,6871,6876,6932,6843,6864,6876,6837,6848,6859,6859,6869,6881,6852,6859
6932,6954,6972,6977,7048,6943,6964,6976,6936,6947,6959,6959,6970,6982,6951,6959
7048,7070,7088,7094,7152,7060,7080,7093,7053,7064,7077,7077,7087,7098,7069,7077
7152,7174,7190,7196,7245,7164,7182,7195,7157,7169,7179,7179,7188,7202,7173,7179
7245,7266,7284,7289,7339,7256,7275,7288,7250,7260,7271,7271,7282,7294,7264,7271
7339,7361,7380,7385,7452,7351,7371,7384,7345,7355,7368,7368,7378,7390,7359,7368
7452,7472,7491,7496,7561,7463,7480,7495,7457,7467,7480,7480,7489,7500,7471,7480
7561,7581,7600,7608,7662,7572,7589,7604,7566,7577,7590,7590,7598,7611,7581,7590
7662,7682,7700,7709,7754,7673,7690,7705,7667,7678,7689,7689,7698,7710,7681,7689
7754,7773,7793,7798,7846,7765,7781,7797,7759,7769,7782,7782,7791,7802,7773,7782
7846,7866,7885,7891,7945,7857,7876,7890,7851,7861,7873,7873,7883,7896,7865,7873
7945,7966,7985,7990,8052,7956,7977,7989,7950,7960,7973,7973,7983,7993,7964,7973
8052,8072,8091,8099,8161,8064,8081,8094,8058,8068,8079,8079,8089,8099,8072,8079
8161,8179,8198,8203,8268,8171,8191,8202,8165,8175,8185,8189,8196,8208,8179,8189
8268,8286,8305,8315,8375,8277,8299,8312,8272,8281,8290,8295,8303,8316,8285,8295
8375,8394,8413,8416,8482,8385,8397,8402,8379,8389,8398,8404,8411,8419,8393,8401
8482,8505,8521,8529,8582,8492,8513,8526,8485,8497,8507,8507,8519,8532,8506,8507
8582,8603,8619,8625,8672,8593,8611,8624,8587,8598,8609,8609,8617,8629,8602,8609
8672,8691,8710,8716,8763,8682,8700,8715,8676,8687,8699,8699,8708,8720,8691,8699
8763,8783,8802,8808,8860,8774,8792,8807,8768,8778,8791,8791,8800,8812,8782,8791
8860,8880,8899,8905,8958,8871,8889,8904,8865,8875,8888,8888,8897,8909,8879,8888
8958,8978,8997,9003,9053,8970,8987,9002,8964,8974,8986,8986,8995,9007,8978,8986
9053,9073,9091,9100,9143,9065,9081,9096,9059,9069,9080,9080,9089,9102,9073,9080
9143,9163,9181,9186,9237,9154,9172,9185,9148,9158,9169,9169,9179,9190,9161,9169
9237,9257,9277,9281,9354,9248,9268,9280,9242,9252,9264,9264,9275,9286,9256,9264
9354,9374,9392,9397,9468,9364,9383,9396,9358,9369,9381,9381,9390,9400,9372,9381
9468,9489,9507,9515,9569,9479,9499,9512,9473,9484,9495,9495,9505,9517,9488,9495
9569,9590,9607,9613,9667,9580,9599,9612,9574,9584,9594,9594,9605,9618,9587,9594
9667,9688,9705,9710,9772,9677,9697,9709,9671,9682,9693,9693,9703,9716,9686,9693
9772,9793,9811,9817,9872,9783,9802,9816,9777,9788,9800,9800,9809,9824,9792,9800
9872,9893,9912,9920,9971,9884,9901,9917,9878,9889,9902,9902,9910,9922,9892,9902
9971,9990,10009,10016,10062,9981,9999,10013,9975,9985,9997,9997,10007,10019,9989,9997
10062,10082,10100,10108,10149,10073,10091,10104,10067,10077,10089,10089,10098,10110,10081,10089
10149,10167,10186,10191,10232,10158,10177,10190,10153,10163,10174,10174,10184,10195,10167,10174
10232,10253,10271,10275,10325,10242,10263,10274,10236,10246,10257,10258,10269,10279,10250,10258
10325,10347,10363,10369,10429,10336,10357,10368,10330,10340,10349,10352,10361,10374,10343,10352
10429,10447,10464,10472,10519,10439,10453,10468,10433,10442,10446,10446,10461,10473,10446,10469
10519,10535,10555,10561,10588,10528,10548,10558,10522,10531,10540,10545,10552,10563,10535,10542
10588,10629,10640,10643,10697,10600,10634,10642,10619,10628,10632,10632,10638,10645,10632,10641
10697,10736,10756,10761,10806,10729,10740,10748,10723,10733,10737,10737,10743,10748,10737,10745
